Corrente (I)	Tensão (V)
(0.08117864839990098-3.14843088200139e-05j)	(4.956077858568186+9.921647963477643j)
(0.08064718586381206-3.086864053787096e-05j)	(4.988361427826141+9.986153364712477j)
(0.0801260487865202-3.027280456911018e-05j)	(5.020436065584405+10.050242094619865j)
(0.07961490667788211-2.9695917114650044e-05j)	(5.052305784989249+10.113922141595324j)
(0.07911344368299175-2.9137144410838193e-05j)	(5.0839744721779745+10.177201241683953j)
(0.07862135775875682-2.8595699308436773e-05j)	(5.115445891840924+10.240086889611234j)
(0.07813835990643075-2.807083812471226e-05j)	(5.146723692473996+10.302586349201128j)
(0.07766417345565882-2.7561857743884663e-05j)	(5.1778114113424545+10.364706663222558j)
(0.07719853339599958-2.7068092943460998e-05j)	(5.208712479175209+10.42645466270218j)
(0.07674118575224381-2.65889139264822e-05j)	(5.239430224607248+10.487836975738405j)
(0.07629188700017796-2.612372404154004e-05j)	(5.269967878386552+10.54886003584893j)
(0.0758504035197323-2.5671957674313327e-05j)	(5.300328577360585+10.609530089881646j)
(0.07541651108271771-2.5233078295839458e-05j)	(5.330515368256308+10.669853205516503j)
(0.07498999437259425-2.4806576654249802e-05j)	(5.360531211266669+10.729835278383916j)
(0.07457064653392947-2.4391969097947395e-05j)	(5.390378983455519+10.78948203882342j)
(0.07415826874940087-2.398879601931086e-05j)	(5.420061481992095+10.848799058304534j)
(0.07375266984237326-2.3596620409038887e-05j)	(5.449581427225371+10.907791755530269j)
(0.07335366590324276-2.3215026512126364e-05j)	(5.478941465607877+10.966465402242259j)
(0.07296107993788503-2.284361857736015e-05j)	(5.508144172477893+11.024825128745135j)
(0.07257474153667853-2.2482019692867047e-05j)	(5.537192054708319+11.082875929166601j)
(0.07219448656269346-2.2129870700958593e-05j)	(5.566087553229957+11.140622666468476j)
(0.07182015685774877-2.1786829186124467e-05j)	(5.594833045436406+11.198070077223j)
(0.07145159996513838-2.1452568530511603e-05j)	(5.623430847477286+11.255222776167699j)
(0.07108866886792102-2.1126777031755322e-05j)	(5.6518832164460795+11.312085260551223j)
(0.07073122174175088-2.0809157078495197e-05j)	(5.680192352468443+11.368661914281793j)
